ClaveProveedor,NumFac,FechaFac,ValorComercial,Moneda,Incoterm,SubdV,CertOrigin,NúmeroItem,PartidaPed,NúmeroParte,ModeloCOVE,SubModeloCOVE,Fracción,Descripción,Vendedor,Origen,ClaveUMC,CantUMC,ClaveUMT,CantUMT,ValorMercancía,Moneda(2),PreferenciaTL,IdentPref,MétVal,TipoMerc,UsoMerc,Vinc,Ident1,Ident2,Ident3,Ident4,Permisos1,Permisos2,ObservPart,MarcaCOVE,SerieCOVE,SubDiv
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,39,,325361259061112004,1259,,61112004,CALZONCILLOS PARA BEBE,ESP,CHN,6,20,6,20,117.2,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,40,,325361259162092015,1259,,62092015,PANTALON CORTO PARA BEBE,ESP,CHN,6,20,6,20,117.2,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,41,,325361260061112008,1260,,61112008,CAMISA (T-SHIRT CON ABERTURA Y BROCHE) PARA BEBE,ESP,CHN,6,10,6,10,63.6,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,42,,325361260162092015,1260,,62092015,PANTALON CORTO PARA BEBE,ESP,CHN,6,10,6,10,63.5,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,43,,325361261061112020,1261,,61112020,PANTALON CORTO PARA BEBE,ESP,IND,6,20,6,20,81,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,44,,325361261161112020,1261,,61112020,PANTALON CORTO PARA BEBE,ESP,IND,6,20,6,20,80.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,45,,325361262062092015,1262,,62092015,PANTALON CORTO PARA BEBE,ESP,MAR,6,30,6,30,237.3,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,46,,325361263062092015,1263,,62092015,PANTALON CORTO CON TIRANTES PARA BEBE,ESP,MAR,6,10,6,10,102.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,47,,325361264061112020,1264,,61112020,PANTALON CORTO PARA BEBE,ESP,CHN,6,10,6,10,48.5,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,48,,325361265062092015,1265,,62092015,PANTALON CORTO PARA BEBE,ESP,CHN,6,10,6,10,80.3,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,49,,325361266062092005,1266,,62092005,CAMISA PARA BEBE,ESP,MAR,6,10,6,10,80,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,50,,325361266162092015,1266,,62092015,PANTALON CORTO CON TIRANTES PARA BEBE,ESP,MAR,6,10,6,10,80,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,51,,325361267062092005,1267,,62092005,CAMISA PARA BEBE,ESP,MAR,6,30,6,30,238.2,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,52,,325361267162092015,1267,,62092015,PANTALON CORTO PARA BEBE,ESP,MAR,6,30,6,30,238.2,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,53,,325361268062092005,1268,,62092005,CAMISA PARA BEBE,ESP,MAR,6,10,6,10,72.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,54,,325361268162092015,1268,,62092015,PANTALON CORTO PARA BEBE,ESP,MAR,6,10,6,10,72.7,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,55,,325361269062092005,1269,,62092005,CAMISA PARA BEBE,ESP,MAR,6,10,6,10,86.7,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,56,,325361269162092015,1269,,62092015,PANTALON CORTO PARA BEBE,ESP,MAR,6,10,6,10,86.6,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32.536,32536,54379.02,USD,CIF,,S,57,,325361270061112008,1270,,61112008,CAMISA TIPO POLO PARA BEBE,ESP,CHN,6,10,6,10,69.6,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
